university,social_url
Auburn University,https://www.instagram.com/auburnwise/
Colorado State University,https://www.instagram.com/csuwise/
Georgia Southern University,https://www.linkedin.com/in/wise-gsu/
Indiana University Bloomington,https://www.instagram.com/wise_iu/
Iowa State University,https://www.instagram.com/wiseiastate/
Miami University,https://www.instagram.com/miamiohwise/
Michigan State University,https://www.instagram.com/msuwise/
Mississippi State University,https://www.instagram.com/msu_mwsc/
North Carolina A&T State University,https://www.instagram.com/ncatwise/
Texas Tech University,https://www.instagram.com/ttuwise/
University of Arkansas,https://www.instagram.com/uarkwise/
University of Illinois Urbana-Champaign,https://www.instagram.com/wise.uiuc/
University of Kansas,https://www.instagram.com/ku.wise/
University of Oklahoma,https://www.instagram.com/ouwise/
"University of Texas, Dallas",https://www.instagram.com/wise_utd/
University of Wisconsin-Madison,https://www.instagram.com/wiseatuw/
Western Michigan University,https://www.instagram.com/wmuwise/
University of Central Florida,https://www.instagram.com/ucfwise/
